GEOID,TempChg,PrepChg,PrepExt,ColdExt,HeatExt,DryChg,ImpSurface,HouseDen,PopEst,HouseSLR,RoadSLR,Hazard(H),Expos(E),Vulner(V),Risk=HEV,HEV*100
12117,1.523598858,0.138486773,140.9,52.6,89.9,-0.180566301,15.67825528,3514.625052,742981,0.000321189,0.039287329,0.385615196,0.155990037,0.28592951,0.017199269,1.7199269
42003,2.130561646,0.016350741,107.1,72.3,34.6,-0.129989142,15.59348132,3195.042311,1217384.333,0,0,0.327081104,0.151713212,0.304433791,0.015106773,1.5106773
06001,1.792898826,0.322043122,116.9,79.3,36.7,-0.252923044,15.5267369,5774.473533,2157136.667,0.021939197,0.068996231,0.328263368,0.226407833,0.347013231,0.025790508,2.5790508
48085,1.655830192,1.798049307,198.5,34.5,35.4,0.126270487,15.46982454,3085.397817,2191485.333,0,0,0.279505085,0.181053838,0.36692254,0.018568287,1.8568287
51690,1.259833893,0.194383029,107.2,77.3,41.8,-0.069288619,15.4435154,2836.310148,3997.666667,0,0,0.266859962,0.112151317,0.296945623,0.008887195,0.8887195
34035,1.611993135,0.023733068,106.2,64.6,33.7,-0.060061533,15.34461856,2862.981214,561388.3333,0.000150762,0.001142136,0.245552455,0.129493103,0.208322221,0.006624094,0.6624094
36103,1.793862345,0.178449904,116.8,46.2,37.4,-0.046970042,15.32072694,3619.486891,1870122.667,0.039696378,0,0.239087672,0.188915946,0.379189653,0.017127039,1.7127039
51820,1.161963486,-0.102839055,96,73,35.3,-0.082635775,15.18271732,2507.6681,4676,0,0,0.212988278,0.109762885,0.324360817,0.007582975,0.7582975
26099,2.166649716,0.091993661,98.2,65.3,25.1,-0.143048487,15.17355853,2987.463499,1060534,0,0,0.28559798,0.143526172,0.340047762,0.013938825,1.3938825
47037,1.65220661,2.607282662,338.3,39.3,39.2,0.364365329,15.12480101,2935.249289,909077.3333,0,0,0.391137988,0.138366039,0.305724949,0.0165459,1.65459
12057,1.495865296,-0.022181604,123.2,40.2,93.5,-0.221825604,15.05803383,3084.217502,2091507.667,0.04862413,0.033814707,0.351426824,0.212350985,0.601660004,0.044899379,4.4899379
37129,1.641153922,0.219397615,102.2,40.5,57.3,-0.136029142,14.95416788,3096.171248,326139.6667,0.014138885,0.043818424,0.262062658,0.14549087,0.287562973,0.010964122,1.0964122
51153,2.031625695,0.028470069,113.1,57.4,39.6,-0.062362216,14.9505874,3609.575379,878614,0.000190092,2.67E-06,0.295229969,0.137526165,0.327543902,0.013298887,1.3298887
08035,1.865416081,0.002326997,65.1,93.3,36.9,-0.233252535,14.77164301,4468.61287,1946317,0,0,0.342841738,0.171087112,0.260318502,0.015269191,1.5269191
13113,1.62365721,0.445889328,115.6,35.6,50.2,-0.064697184,14.73888693,2605.636529,425437.3333,0,0,0.238501267,0.119993812,0.27407518,0.007843669,0.7843669
12071,1.692540718,-0.027798835,141.9,29,100,-0.207244503,14.67281575,3045.503023,1064248,0.036379606,0.032603026,0.370523075,0.171465982,0.340508499,0.021633221,2.1633221
